ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"2"	"CR1220"	"B1"	"BAT-SMD_CR1220-2"	"25"	"CR1220-2"	"Q&J"	"LCSC"	"C70381"	"0.209"
"3"	"10uF"	"C1,C2"	"CAP-SMD_BD6.3-L6.6-W6.6-FD"	"38"	"EEEFK1J100P"	"PANASONIC(松下)"	"LCSC"	"C128459"	"0.153"
"4"	"22uF"	"C3,C6,C7,C13,C14,C20"	"C0805"	"87"	"CL21A226MQQNNNE"	"SAMSUNG(三星)"	"LCSC"	"C5674"	"0.012"
"5"	"100nF"	"C5,C8,C9,C10,C11,C12,C15,C16,C17,C18,C19,C21,C22"	"C0603"	"349"	"CL10B104KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1591"	"0.003"
"6"	"US1M-13-F"	"D1"	"SMA_L4.3-W2.6-LS5.2-RD"	"25"	"US1M-13-F"	"DIODES(美台)"	"LCSC"	"C99333"	"0.037"
"7"	"DW254R-11-06-85"	"J2"	"HDR-TH_6P-P2.54-V-F"	"25"	"DW254R-11-06-85"	"DEALON(德艺隆)"	"LCSC"	"C2935900"	"0.064"
"8"	"TYPE-C-31-M-12"	"J4"	"USB-C_SMD-TYPE-C-31-M-12"	"25"	"TYPE-C-31-M-12"	"韩国韩荣"	"LCSC"	"C165948"	"0.159"
"9"	"220uH"	"L1"	"IND-SMD_L9.8-W9.8"	"25"	"SDR1006-221KL"	"BOURNS"	"LCSC"	"C3222267"	"0.673"
"10"	"2.2uH"	"L2"	"IND-SMD_L3.0-W3.0"	"19"	"LQH3NPN2R2MJRL"	"muRata(村田)"	"LCSC"	"C341775"	"0.179"
"11"	"MMBTA42"	"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q17"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"228"	"MMBTA42Q-7-F"	"DIODES(美台)"	"LCSC"	"C460101"	"0.045"
"12"	"MMBTA92"	"Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"228"	"MMBTA92-7-F"	"DIODES(美台)"	"LCSC"	"C85182"	"0.025"
"13"	"IRLR120N"	"Q25"	"TO-252-2_L6.5-W6.1-P4.58-LS10.0-TR"	"25"	"IRLR120NTRPBF"	"Infineon(英飞凌)"	"LCSC"	"C2594"	"0.398"
"14"	"100kΩ"	"R1,R2,R3,R4,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R23,R24,R25,R26,R27,R29,R30,R32,R33,R35,R36,R37,R38,R39,R45,R46"	"R0603"	"645"	"ERJ3EKF1003V"	"PANASONIC(松下)"	"LCSC"	"C189597"	"0.005"
"15"	"5.1kΩ"	"R5,R6"	"R0603"	"56"	"ERJ3EKF5101V"	"PANASONIC(松下)"	"LCSC"	"C123727"	"0.005"
"16"	"0Ω"	"R20,R21,R22,R52"	"R0603"	"76"	"ERJ3GEY0R00V"	"PANASONIC(松下)"	"LCSC"	"C122704"	"0.005"
"17"	"100kΩ"	"R28"	"RES-ADJ-SMD_3P-L4.5-W4.5-P2.30-BL-FS"	"19"	"3314J-1-104E"	"BOURNS"	"LCSC"	"C51284"	"0.493"
"18"	"10kΩ"	"R31,R40"	"R0603"	"80"	"ERJ3GEYJ103V"	"PANASONIC(松下)"	"LCSC"	"C169849"	"0.005"
"19"	"10Ω"	"R34"	"R0603"	"10"	"ERJ3EKF10R0V"	"PANASONIC(松下)"	"LCSC"	"C193335"	"0.009"
"20"	"330kΩ"	"R41,R47,R48,R49,R50,R51,R53,R54,R55,R56,R57,R58"	"R0603"	"228"	"ERJ3GEYJ334V"	"PANASONIC(松下)"	"LCSC"	"C403482"	"0.005"
"21"	"75kΩ"	"R42"	"R0603"	"4"	"ERJ3GEYJ753V"	"PANASONIC(松下)"	"LCSC"	"C403533"	"0.005"
"22"	"1.8kΩ"	"R43,R44"	"R0603"	"20"	"ERJPA3J182V"	"PANASONIC(松下)"	"LCSC"	"C445826"	"0.016"
"23"	"GT-TC089C-H085-L1"	"SW1,SW2,SW3"	"SW-SMD_4P-L6.0-W6.0-P4.50-LS8.5"	"75"	"GT-TC089C-H085-L1"	"G-Switch(品赞)"	"LCSC"	"C843642"	"0.049"
"24"	"TS-1101-C-W"	"SW4,SW6"	"SW-SMD_L6.0-W3.3-LS8.0"	"20"	"TS-1101-C-W"	"XKB Connectivity(中国星坤)"	"LCSC"	"C318938"	"0.035"
"25"	"LD1117S33CTR"	"U3"	"SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR"	"25"	"LD1117S33CTR"	"ST(意法半导体)"	"LCSC"	"C35879"	"0.155"
"26"	"UCC27517DBVR"	"U4"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"25"	"UCC27517DBVR"	"TI(德州仪器)"	"LCSC"	"C99395"	"0.274"
"27"	"TLV62569DBVR"	"U5"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"19"	"TLV62569DBVR"	"TI(德州仪器)"	"LCSC"	"C141836"	"0.067"
"28"	"DS3231MZ+"	"U6"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"10"	"DS3231MZ+TRL"	"ADI(亚德诺)/MAXIM(美信)"	"LCSC"	"C107410"	"2.258"
"29"	"ESP32-S2-SOLO-N4R2"	"U7"	"WIRELM-SMD_ESP32-S3-WROOM-1"	"10"	"ESP32-S2-SOLO-N4R2"	"ESPRESSIF(乐鑫)"	"LCSC"	"C3013947"	"2.469"
"30"	"10Ω"	"R34"	"R0603"	"15"	"0603WAF100JT5E"	"UniOhm"	"LCSC"	"C22859"	"0.001"
"31"	"22Ω"	"R35,R36"	"R0603"	"30"	"ERJ3EKF22R0V"	"PANASONIC(松下)"	"LCSC"	"C122707"	"0.005"
"31"	"20pF"	"C4,C5"	"C0603"	"30"	"CL10C200JB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C1648"	"0.005"
"33"	"32.768kHz"	"XTAL1"	"CRYSTAL-SMD_L7.0-W3.2-LS7.5"	"15"	"7Z032768NW2"	"HD(浩都频率)"	"LCSC"	"C1021791"	"0.159"
"34"	"PZ254V-11-05P"	"J1"	"HDR-TH_5P-P2.54-V-M"	"15"	"PZ254V-11-05P"	"XFCN(兴飞)"	"LCSC"	"C492404"	"0.027"
"35"	"STM32G030C8T6"	"U1"	"LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL"	"15"	"STM32G030C8T6"	"ST(意法半导体)"	"LCSC"	"C529329"	"0.737"
"36"	"3.3uF"	"C2,C3"	"CAP-SMD_BD8.0-L8.3-W8.3-RD"	"12"	"VMMD0622E3R3MV"	"Ymin(永铭)"	"LCSC"	"C487231"	"0.091"
"37"	"ULN2003AIPWR"	"U1,U2,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28"	"TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL"	"72"	"ULN2003AIPWR"	"TI(德州仪器)"	"LCSC"	"C141782"	"0.377"
"38"	"10nF"	"C1"	"C0603"	"12"	"0603B103K251NT"	"FH(风华)"	"LCSC"	"C336636"	"0.004"
"39"	"SN74HC573APWR"	"U14,U5,U8,U9,U10,U11,U15,U16,U17,U18,U12,U13"	"TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL"	"72"	"SN74HC573APWR"	"TI(德州仪器)"	"LCSC"	"C6759"	"0.263"
"40"	"MM3Z47VB"	"D2,D3,D4,D5,D6,D7,D10,D11,D12,D13,D8,D9"	"SOD-323_L1.7-W1.3-LS2.6-RD-1"	"72"	"MM3Z47VB"	"onsemi(安森美)"	"LCSC"	"C891622"	"0.047"
"41"	"8.2kΩ"	"R12,R13"	"R0603"	"12"	"ERJPA3J822V"	"PANASONIC(松下)"	"LCSC"	"C445835"	"0.021"
